HomeTeam,AwayTeam,ScoreHome,ScoreAway,TotalScore
Golden State Warriors,Houston Rockets,125,109,234
Phoenix Suns,Washington Wizards,134,106,240
Portland Trail Blazers,Detroit Pistons,118,103,221
Oklahoma City Thunder,Philadelphia 76ers,93,117,210
Utah Jazz,Sacramento Kings,128,112,240
Brooklyn Nets,Los Angeles Lakers,101,126,227
Cleveland Cavaliers,Toronto Raptors,115,135,250
Golden State Warriors,Washington Wizards,107,110,217
Los Angeles Clippers,Houston Rockets,126,109,235
Denver Nuggets,San Antonio Spurs,121,119,240
Milwaukee Bucks,Charlotte Hornets,119,127,246
Atlanta Hawks,Chicago Bulls,120,108,228
New Orleans Pelicans,Philadelphia 76ers,101,94,195
Boston Celtics,Minnesota Timberwolves,145,136,281
New York Knicks,Memphis Grizzlies,133,129,262
Orlando Magic,Indiana Pacers,106,111,217
Los Angeles Clippers,Phoenix Suns,113,103,216
Sacramento Kings,Detroit Pistons,101,113,214
Utah Jazz,Portland Trail Blazers,122,103,225
Dallas Mavericks,Milwaukee Bucks,116,101,217
Oklahoma City Thunder,Cleveland Cavaliers,102,129,231
Miami Heat,Los Angeles Lakers,110,104,214
Toronto Raptors,Chicago Bulls,113,122,235
Phoenix Suns,Utah Jazz,117,113,230
Denver Nuggets,San Antonio Spurs,106,96,202
Atlanta Hawks,Memphis Grizzlies,113,131,244
Houston Rockets,Dallas Mavericks,102,93,195
Oklahoma City Thunder,Charlotte Hornets,102,113,215
Boston Celtics,New York Knicks,101,99,200
Brooklyn Nets,New Orleans Pelicans,139,111,250
Indiana Pacers,Minnesota Timberwolves,141,137,278
Orlando Magic,Washington Wizards,116,131,247
Golden State Warriors,Milwaukee Bucks,122,121,243
Los Angeles Clippers,Portland Trail Blazers,133,116,249
Denver Nuggets,Detroit Pistons,134,119,253
Miami Heat,Memphis Grizzlies,112,124,236
Atlanta Hawks,New Orleans Pelicans,123,107,230
Boston Celtics,Philadelphia 76ers,96,106,202
Toronto Raptors,Los Angeles Lakers,101,110,211
Indiana Pacers,Chicago Bulls,97,113,210
Houston Rockets,Phoenix Suns,130,133,263
Brooklyn Nets,New York Knicks,114,112,226
Dallas Mavericks,Utah Jazz,111,103,214
Minnesota Timberwolves,Sacramento Kings,116,106,222
Oklahoma City Thunder,Detroit Pistons,108,132,240
San Antonio Spurs,Cleveland Cavaliers,101,125,226
Toronto Raptors,Washington Wizards,103,101,204
Denver Nuggets,Orlando Magic,119,109,228
Houston Rockets,New Orleans Pelicans,115,122,237
Atlanta Hawks,Golden State Warriors,117,111,228
Philadelphia 76ers,Memphis Grizzlies,100,116,216
Boston Celtics,Charlotte Hornets,116,86,202
Los Angeles Clippers,Los Angeles Lakers,104,86,190
Chicago Bulls,Brooklyn Nets,115,107,222
Portland Trail Blazers,Oklahoma City Thunder,133,85,218
Sacramento Kings,Milwaukee Bucks,128,129,257
San Antonio Spurs,Indiana Pacers,133,139,272
Utah Jazz,Orlando Magic,137,91,228
Detroit Pistons,New York Knicks,81,125,206
Miami Heat,Cleveland Cavaliers,115,101,216
Philadelphia 76ers,Minnesota Timberwolves,122,113,235
Washington Wizards,Dallas Mavericks,87,109,196
Phoenix Suns,Oklahoma City Thunder,140,103,243
Portland Trail Blazers,Milwaukee Bucks,109,127,236
Sacramento Kings,Los Angeles Lakers,94,115,209
New Orleans Pelicans,Atlanta Hawks,103,126,229
Utah Jazz,Chicago Bulls,113,106,219
Indiana Pacers,Charlotte Hornets,97,114,211
Memphis Grizzlies,Minnesota Timberwolves,120,108,228
Boston Celtics,Houston Rockets,118,102,220
New York Knicks,Dallas Mavericks,86,99,185
Toronto Raptors,Golden State Warriors,130,77,207
Los Angeles Clippers,Denver Nuggets,94,101,195
San Antonio Spurs,Atlanta Hawks,129,134,263
Miami Heat,Golden State Warriors,116,109,225
New Orleans Pelicans,Orlando Magic,110,115,225
Brooklyn Nets,Charlotte Hornets,111,89,200
Cleveland Cavaliers,Philadelphia 76ers,94,114,208
Detroit Pistons,Washington Wizards,120,91,211
Los Angeles Lakers,Milwaukee Bucks,97,112,209
Phoenix Suns,Chicago Bulls,121,116,237
San Antonio Spurs,Sacramento Kings,120,106,226
Memphis Grizzlies,Utah Jazz,107,111,218
Minnesota Timberwolves,New York Knicks,102,101,203
Oklahoma City Thunder,Toronto Raptors,113,103,216
Boston Celtics,Dallas Mavericks,108,113,221
Brooklyn Nets,Houston Rockets,120,108,228
Detroit Pistons,Portland Trail Blazers,101,124,225
Indiana Pacers,Miami Heat,87,92,179
Los Angeles Clippers,Orlando Magic,96,103,199
Phoenix Suns,Atlanta Hawks,117,110,227
Denver Nuggets,Philadelphia 76ers,104,95,199
Washington Wizards,Charlotte Hornets,104,114,218
Golden State Warriors,Chicago Bulls,116,102,218
Los Angeles Clippers,Milwaukee Bucks,129,105,234
Utah Jazz,Cleveland Cavaliers,114,75,189
San Antonio Spurs,Sacramento Kings,115,132,247
Detroit Pistons,Toronto Raptors,118,104,222
Houston Rockets,Memphis Grizzlies,110,120,230
Oklahoma City Thunder,Dallas Mavericks,106,127,233
Boston Celtics,New Orleans Pelicans,109,115,224
Brooklyn Nets,Minnesota Timberwolves,112,107,219
New York Knicks,Miami Heat,88,98,186
Washington Wizards,Indiana Pacers,132,124,256
Los Angeles Lakers,Orlando Magic,96,93,189
Denver Nuggets,Atlanta Hawks,126,102,228
Toronto Raptors,Portland Trail Blazers,117,122,239
Charlotte Hornets,Phoenix Suns,97,101,198
Los Angeles Clippers,Philadelphia 76ers,122,112,234
Sacramento Kings,Cleveland Cavaliers,100,98,198
New Orleans Pelicans,Dallas Mavericks,112,103,215
Oklahoma City Thunder,Boston Celtics,94,111,205
Utah Jazz,Memphis Grizzlies,126,110,236
San Antonio Spurs,Chicago Bulls,120,104,224
Milwaukee Bucks,New York Knicks,96,102,198
Minnesota Timberwolves,Houston Rockets,107,129,236
Washington Wizards,Detroit Pistons,106,92,198
Los Angeles Lakers,Cleveland Cavaliers,100,86,186
Golden State Warriors,Atlanta Hawks,108,124,232
Utah Jazz,Memphis Grizzlies,117,114,231
Dallas Mavericks,Indiana Pacers,94,109,203
Charlotte Hornets,Miami Heat,110,105,215
Minnesota Timberwolves,Houston Rockets,107,101,208
New Orleans Pelicans,Denver Nuggets,108,113,221
Orlando Magic,Portland Trail Blazers,105,112,217
Milwaukee Bucks,Boston Celtics,114,122,236
Toronto Raptors,Phoenix Suns,100,104,204
Detroit Pistons,Brooklyn Nets,111,113,224
Los Angeles Lakers,Philadelphia 76ers,101,109,210
Sacramento Kings,Golden State Warriors,141,119,260
San Antonio Spurs,Los Angeles Clippers,85,98,183
Miami Heat,Portland Trail Blazers,122,125,247
New York Knicks,Washington Wizards,106,102,208
Sacramento Kings,Atlanta Hawks,110,108,218
Utah Jazz,Brooklyn Nets,118,88,206
San Antonio Spurs,Los Angeles Clippers,101,134,235
Chicago Bulls,Cleveland Cavaliers,94,103,197
Houston Rockets,Charlotte Hornets,97,122,219
Minnesota Timberwolves,Dallas Mavericks,108,128,236
Oklahoma City Thunder,Memphis Grizzlies,107,116,223
Orlando Magic,Phoenix Suns,112,111,223
Milwaukee Bucks,Boston Celtics,121,119,240
Toronto Raptors,Denver Nuggets,135,111,246
Indiana Pacers,Detroit Pistons,116,111,227
Golden State Warriors,Philadelphia 76ers,98,108,206
Portland Trail Blazers,Brooklyn Nets,112,116,228
Miami Heat,Phoenix Suns,100,110,210
New Orleans Pelicans,Los Angeles Lakers,128,111,239
New York Knicks,Washington Wizards,131,113,244
Orlando Magic,Denver Nuggets,99,110,209
Los Angeles Clippers,Atlanta Hawks,119,110,229
Chicago Bulls,Utah Jazz,95,120,215
Houston Rockets,Toronto Raptors,117,99,216
Memphis Grizzlies,Boston Celtics,132,126,258
Milwaukee Bucks,Indiana Pacers,140,113,253
